trace,states,actions,outcome,outcome_name,reward,n_transitions
48,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
49,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
50,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
51,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
52,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
53,0->1->11,"classify,thorough_screen",11,abandoned,0.0,2
54,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
55,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
56,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
57,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
58,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
59,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
60,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
61,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
62,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
63,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
64,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
65,0->1->11,"classify,thorough_screen",11,abandoned,0.0,2
66,0->11,classify,11,abandoned,0.0,1
67,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
68,0->2->11,"classify,brief_response",11,abandoned,0.0,2
69,0->11,classify,11,abandoned,0.0,1
70,0->2->6->11,"classify,detailed_response,check_satisfaction",11,abandoned,0.0,3
71,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
72,0->2->11,"classify,detailed_response",11,abandoned,0.0,2
73,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
74,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
75,0->11,classify,11,abandoned,0.0,1
76,0->2->6->11,"classify,detailed_response,check_satisfaction",11,abandoned,0.0,3
77,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
78,0->11,classify,11,abandoned,0.0,1
79,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
80,0->11,classify,11,abandoned,0.0,1
81,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
82,0->1->4->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
83,0->2->6->8,"classify,brief_response,check_satisfaction",8,escalated_nurse,6.0,3
84,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
85,0->1->4->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
86,0->2->11,"classify,brief_response",11,abandoned,0.0,2
87,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
88,0->2->11,"classify,brief_response",11,abandoned,0.0,2
89,0->2->6->8,"classify,detailed_response,check_satisfaction",8,escalated_nurse,6.0,3
90,0->1->5->8,"classify,thorough_screen,offer_nurse",8,escalated_nurse,6.0,3
91,0->2->6->7,"classify,detailed_response,check_satisfaction",7,resolved,10.0,3
92,0->2->6->7,"classify,brief_response,check_satisfaction",7,resolved,10.0,3
93,0->3->9,"classify,transfer_to_admin",9,escalated_admin,5.0,2
94,0->3->7,"classify,auto_process",7,resolved,10.0,2
95,0->3->11,"classify,auto_process",11,abandoned,0.0,2
96,0->3->11,"classify,transfer_to_admin",11,abandoned,0.0,2
97,0->1->4->10,"classify,quick_screen,emergency_referral",10,emergency,12.0,3
98,0->3->9,"classify,transfer_to_admin",9,escalated_admin,5.0,2
99,0->1->5->8,"classify,quick_screen,offer_nurse",8,escalated_nurse,6.0,3
